Ingredient_Name,Category,Biomarker_Targets,Direction,Gender_Relevance,Evidence_Level,Study_References,Study_Design,Study_Notes,Clinical_Case_Notes,Drug_Interactions,Contraindicated_For,Timing_Recommendation,Product_Name_Supliful,Product_URL_Supliful,Goal_1,Goal_2,Goal_3,OS_Module_1,OS_Module_2,OS_Module_3,Synergistic_With,Antagonistic_With,Contraindicated_With
Iron,Mineral,"Ferritin, Hemoglobin",↑,Female (High),A,PMID:22777991,RCT (n=198),"Reduced fatigue in non-anemic women with low ferritin","Essential for oxygen transport","Levothyroxine, PPIs, Antibiotics","Hemochromatosis, Men (unless deficient)","Morning, empty stomach","Iron Strips",https://supliful.com/catalog/iron-strips,Energy & Focus,Recovery & Performance,Cognitive Support,Mitochondrial Optimization OS,Thyroid Support OS,,"[Vitamin C (always)]","[Calcium (antagonistic)], [Coffee (antagonistic)]","[Thalassemia (contraindicated)]"
Moringa,Herb,"Antioxidant Status",↑,Both,C,PMID:26322238,Review,"Rich micronutrient profile; lowers blood sugar","Supports lactation in nursing mothers","Antidiabetics, CYP450 substrates","Pregnancy (roots/bark - uterine stim)","Morning","Moringa Pure",https://supliful.com/catalog/moringa-pure-capsules,Detoxification,Metabolic Health,Immune Resilience,Liver Support OS,Insulin Sensitivity OS,,"[Greens Powders (conditional)]",,
Chaga Mushroom,Fungus,"Immune Cytokines",↑,Both,B,PMID:22696372,Review,"Immune modulation and viral defense","High antioxidant capacity (SOD)","Anticoagulants, Insulin","Autoimmune conditions (caution)","Morning","Chaga Mushroom",https://supliful.com/catalog/chaga-mushroom-capsules,Immune Resilience,Detoxification,Anti-Aging / Longevity,Inflammation Modulation OS,Liver Support OS,,"[Reishi (conditional)], [Cordyceps (conditional)]",,
Sea Moss,Algae,"Micronutrient Status",↑,Both,C,PMID:34200854,Review,"Rich source of Iodine and trace minerals","Supports thyroid function and gut health","Thyroid medication (Iodine interaction)","Hyperthyroidism","Any time","Sea Moss",https://supliful.com/catalog/sea-moss-capsules,Thyroid Support,Immune Resilience,Skin & Hair,Thyroid Support OS,Gut-Brain Axis OS,,"[Bladderwrack (conditional)]",,"[Iodine Supplements (contraindicated)]"
Saw Palmetto,Herb,"IPSS (Prostate Score)",↓,Male,B,PMID:23235613,Meta-Analysis (n=5666),"Mild symptom relief for BPH; no size reduction","No significant effect on hair loss (oral)","Hormone therapies, Anticoagulants","Women (generally), Pregnancy","Evening","Prostate Support",https://supliful.com/catalog/prostate-support-capsules,Hormonal Balance,Anti-Aging / Longevity,Sleep Optimization,Androgen Support OS,Inflammation Modulation OS,,"[Pumpkin Seed Oil (conditional)], [Beta-Sitosterol (conditional)]",,
Glucosamine,Compound,"Joint Space Width",↑,Both,A,PMID:15654279,Meta-Analysis (n=2596),"Reduced OA pain and slowed joint narrowing","Sulfate form is effective; HCl is not","Warfarin","Shellfish Allergy","Divided doses, with food","Joint Support",https://supliful.com/catalog/joint-support-capsules,Recovery & Performance,Anti-Aging / Longevity,Inflammation Control,Anabolic Recovery OS,Inflammation Modulation OS,,"[Chondroitin (always)], [MSM (conditional)]",,
Vitamin B Complex,Vitamin,"Homocysteine, Energy",↓ (Hcy),Both,A,PMID:26888463,Meta-Analysis,"Supports energy metabolism and methylation","B6 reduced PMS; B12 for cognition","Levodopa (B6), Metformin (B12)","Leber's Disease (B12)","Morning","Complete Multivitamin",https://supliful.com/catalog/complete-multivitamin-capsules,Energy & Focus,Stress & Mood,Metabolic Health,Neuroprotective OS,Adrenal Reset OS,,"[Magnesium (conditional)]",,
Melatonin,Hormone,"Sleep Latency",↓,Both,A,PMID:23691095,Meta-Analysis (n=1683),"Reduced time to fall asleep by 7 min","Regulates circadian rhythm","Sedatives, Immunosuppressants","Autoimmune conditions","Evening (30m before bed)","Sleep Support",https://supliful.com/catalog/sleep-support-capsules,Sleep Optimization,Anti-Aging / Longevity,Immune Resilience,Neuroprotective OS,Mitochondrial Optimization OS,,"[Magnesium (conditional)]","[Caffeine (antagonistic)]","[Driving (contraindicated)]"
Elderberry,Herb,"Viral Duration",↓,Both,B,PMID:30670267,Meta-Analysis,"Reduced upper respiratory symptoms","Shortens flu duration","Immune suppressants","Autoimmune conditions","Acute usage (at onset)","Immune Support (check blends)",N/A,Immune Resilience,Recovery & Performance,Inflammation Control,Inflammation Modulation OS,,,,"[Zinc (conditional)], [Vitamin C (conditional)]",,
L-Theanine,Amino Acid,"Alpha Brain Waves",↑,Both,A,PMID:18296328,RCT (n=35),"Improved focus and reduced anxiety","Synergistic with caffeine for cognition","Stimulants (modulates), Antihypertensives","None known","Morning or Pre-task","Cognitive Support",https://supliful.com/catalog/cognitive-support-capsules,Stress & Mood,Cognitive Support,Sleep Optimization,Neuroprotective OS,Adrenal Reset OS,,"[Caffeine (synergistic)], [Magnesium (conditional)]",,
Digestive Enzymes,Enzyme,"Stool Fat, Bloating",↓,Both,B,PMID:10421978,RCT,"Reduced gas and bloating after meals","Improved nutrient absorption","Acarbose","Pancreatitis (Acute), Ulcers","With meals","Digestive Enzyme Pro Blend",https://supliful.com/catalog/digestive-enzyme-pro-blend-capsules,Metabolic Health,Detoxification,Recovery & Performance,Gut-Brain Axis OS,,,,"[Probiotics (conditional)]",,
Greens Superfood,Blend,"Micronutrient Status",↑,Both,C,PMID:N/A,Review,"General support for pH balance and detox","Convenient vegetable intake source","Warfarin (Vitamin K content)","Kidney Stones (Oxalates)","Morning","Greens Superfood",https://supliful.com/catalog/greens-superfood-powder,Detoxification,Immune Resilience,Metabolic Health,Liver Support OS,Gut-Brain Axis OS,,"[Fiber (conditional)]",,
Methylene Blue,Compound,"Mitochondrial Respiration",↑,Both,C,PMID:28840449,Review,"Enhances mitochondrial electron transport","Cognitive enhancement and memory","SSRI/MAOIs (Serotonin Syndrome risk)","G6PD Deficiency, Pregnancy","Morning","Methylene Blue Drops",https://supliful.com/catalog/methylene-blue-drops,Cognitive Support,Energy & Focus,Anti-Aging / Longevity,Mitochondrial Optimization OS,Neuroprotective OS,,"[Red Light Therapy (synergistic)]",,"[SSRI Antidepressants (contraindicated)]"
Horny Goat Weed (Icariin),Herb,"Erectile Function",↑,Male,C,PMID:18784480,Animal/In-Vitro,"PDE5 inhibition (mild Viagra effect)","Mimics testosterone (weak evidence)","Antihypertensives","Heart conditions","Pre-activity","Horny Goat Weed Blend",https://supliful.com/catalog/horny-goat-weed-blend-capsules,Fertility & Libido,Hormonal Balance,Cardiovascular Health,Androgen Support OS,Nitric Oxide OS,,"[Maca (conditional)], [Arginine (conditional)]",,
Nitric Oxide (Beets/Arginine),Blend,"Vasodilation",↑,Both,B,PMID:21067832,RCT,"Improved blood flow and pumps","Reduced blood pressure","PDE5 Inhibitors, Blood pressure meds","Hypotension","Pre-workout","Nitric Oxide",https://supliful.com/catalog/nitric-oxide-capsules,Cardiovascular Health,Recovery & Performance,Fertility & Libido,Anabolic Recovery OS,Cardiovascular OS,,"[Citrulline (conditional)]","[Mouthwash (antagonistic)]",
Tribulus Terrestris,Herb,"Libido",↑,Male,B,PMID:24559105,RCT (n=180),"Improved sexual function scores","NO significant increase in testosterone","Diuretics, Antidiabetics","Pregnancy","Daily","Men's Vitality",https://supliful.com/catalog/mens-vitality-tablets,Fertility & Libido,Hormonal Balance,Energy & Focus,Androgen Support OS,,,,"[Maca (conditional)]",,
Vitamin C Serum,Topical,"Skin Brightness",↑,Female (High),A,PMID:28805671,Review,"Topical application reduces hyperpigmentation","Stimulates collagen production","None (Topical)","Sensitive Skin (high concentration)","Morning/Night","Vitamin C Serum",https://supliful.com/catalog/vitamin-c-serum,Skin & Hair,Anti-Aging / Longevity,,Skin Repair OS,,,,"[Vitamin E (synergistic)], [Ferulic Acid (synergistic)]",,
Liver Support (Milk Thistle+),Blend,"Liver Enzymes",↓,Both,B,PMID:17943748,Meta-Analysis,"Protects liver from toxins","Supports glutathione production","CYP450 Substrates (drug metabolism)","Ragweed Allergy","Evening","Liver Support",https://supliful.com/catalog/liver-support-capsules,Detoxification,Metabolic Health,Hormonal Balance,Liver Support OS,Estrogen Detox OS,,"[NAC (conditional)], [TUDCA (conditional)]",,
Keto BHB,Compound,"Blood Ketones",↑,Both,B,PMID:29446830,RCT,"Exogenous ketones source for energy","Reduces keto-flu symptoms","None specific","None specific","Before workout / Fasting","Keto BHB",https://supliful.com/catalog/keto-bhb-capsules,Metabolic Health,Energy & Focus,Weight Management,Insulin Sensitivity OS,Mitochondrial Optimization OS,,"[MCT Oil (synergistic)]",,"[High Carb Diet (antagonistic)]"
Mushroom Complex,Blend,"Immune Modulation",↑,Both,B,PMID:25084055,Review,"Synergistic immune support from glucans","Adaptogenic stress response","Anticoagulants, Immunosuppressants","Autoimmune conditions","Morning","Mushroom Extract Complex",https://supliful.com/catalog/mushroom-extract-gummies,Immune Resilience,Stress & Mood,Cognitive Support,Inflammation Modulation OS,Gut-Brain Axis OS,,"[Vitamin C (conditional)]",,
Hydration Powder (Electrolytes),Blend,"Hydration Status",↑,Both,A,PMID:33388079,Review,"Maintains fluid balance during exercise","Prevents cramping and fatigue","None specific","Kidney Failure (Potassium)","Intra-workout","Hydration Powder (Lemonade)",https://supliful.com/catalog/hydration-powder-lemonade,Recovery & Performance,Energy & Focus,Cardiovascular Health,Anabolic Recovery OS,,,,"[Creatine (conditional)]",,
Hair Growth Serum,Topical,"Hair Density",↑,Both,B,PMID:25964049,RCT,"Topical peptides/minerals support follicles","Reduces shedding","None","Scalp irritation","Daily","Peptide Hair Growth Serum",https://supliful.com/catalog/peptide-hair-growth-serum,Skin & Hair,Anti-Aging / Longevity,,Skin Repair OS,,,,"[Biotin (oral) (synergistic)]",,
Colon Cleanse,Blend,"Bowel Movement",↑,Both,C,PMID:N/A,Traditional,"Promotes waste elimination","Temporary relief of constipation","Diuretics","IBS-D, Obstruction","Short term only","Colon Gentle Cleanse",https://supliful.com/catalog/colon-gentle-cleanse-sachets,Detoxification,Metabolic Health,,Gut-Brain Axis OS,,,,"[Probiotics (conditional - after)]",,
Nootropic Blend,Blend,"Cognitive Performance",↑,Both,B,PMID:26618583,Review,"Enhances focus and memory","Supports acetylcholine","Stimulants","Anxiety","Morning","Brain & Focus Formula",https://supliful.com/catalog/brain-focus-formula-capsules,Cognitive Support,Energy & Focus,Stress & Mood,Neuroprotective OS,Mitochondrial Optimization OS,,"[Omega-3 (conditional)]",,
Joint Support (Glucosamine/Chondroitin),Blend,"Joint Pain",↓,Both,A,PMID:26881468,Meta-Analysis,"Reduced pain in osteoarthritis","Improved joint mobility","Warfarin","Shellfish Allergy","Divided doses","Joint Support",https://supliful.com/catalog/joint-support-capsules,Recovery & Performance,Inflammation Control,Anti-Aging / Longevity,Anabolic Recovery OS,Inflammation Modulation OS,,"[MSM (synergistic)], [Omega-3 (synergistic)]",,
Sleep Formula (Valerian/Melatonin),Blend,"Sleep Quality",↑,Both,B,PMID:2034738,Meta-Analysis,"Reduces sleep latency","Improves deep sleep duration","Sedatives, Alcohol","Driving/Machinery","Evening","Sleep Formula",https://supliful.com/catalog/sleep-formula-capsules,Sleep Optimization,Stress & Mood,Recovery & Performance,Neuroprotective OS,Adrenal Reset OS,,"[Magnesium (conditional)]","[Caffeine (contraindicated)]",
Fat Burner (Thermogenic),Blend,"Metabolic Rate",↑,Both,B,PMID:21951331,Review,"Increases calorie expenditure","Suppresses appetite","Stimulants, MAOIs","Cardiovascular conditions, Anxiety","Morning","Fat Burner with MCT",https://supliful.com/catalog/fat-burner-mct-capsules,Metabolic Health,Energy & Focus,Weight Management,Insulin Sensitivity OS,Mitochondrial Optimization OS,,"[Exercise (synergistic)]",,
BCAA,Amino Acid,"Muscle Protein Synthesis",↑,Male (High),B,PMID:28934166,Meta-Analysis,"Reduces muscle breakdown (catabolism)","Reduces delayed onset muscle soreness","None specific","ALS (branch chain toxicity theory - rare)","Intra/Post-workout","BCAA Post Workout Powder (Honeydew/Watermelon)",https://supliful.com/catalog/bcaa-post-workout-powder-honeydew-watermelon,Recovery & Performance,Anabolic Recovery OS,Energy & Focus,Anabolic Recovery OS,,,,"[Creatine (conditional)]",,
Colostrum,Compound,"Gut Barrier, IgA",↑,Both,B,PMID:24626685,RCT,"Improves gut lining integrity","Boosts immune defense in athletes","None specific","Dairy Allergy","Morning","Colostrum Powder",https://supliful.com/catalog/colostrum-powder,Immune Resilience,Recovery & Performance,Gut-Brain Axis OS,Gut-Brain Axis OS,Immune Resilience,,"[Probiotics (synergistic)]",,
Bee Pearl (Royal Jelly/Pollen),Food,"Vitality",↑,Both,C,PMID:22995393,RCT,"Improves erythropoiesis (red blood cells)","Supports hormonal balance","Warfarin","Bee Product Allergy, Asthma","Morning","Bee Pearl",https://supliful.com/catalog/bee-pearl-capsules,Energy & Focus,Immune Resilience,Hormonal Balance,Mitochondrial Optimization OS,,,,"[Honey (conditional)]",,
