ingredient_name,category,subcategory,evidence_grade,evidence_strength_score,number_of_meta_analyses,number_of_rcts,total_participants,study_year_range_start,study_year_range_end,primary_biomarkers,secondary_biomarkers,mechanisms_of_action,primary_outcomes,secondary_outcomes,effect_sizes,evidence_confidence_level,male_relevance_score,female_relevance_score,male_specific_notes,female_specific_notes,best_time_of_day,food_relation,timing_reason,studied_doses,practical_consumer_doses,contraindications,side_effects_common,side_effects_rare,medication_interactions,upper_safe_limit,caution_populations,reference_pmids,reference_dois,notes_for_internal_review
Iron,Mineral,Trace Mineral,A,0.96,18.0,65.0,45000.0,1990.0,2023.0,Ferritin,Hemoglobin,"Oxygen transport",Anemia resolution,Fatigue reduction,Large for anemia,High,0.3,0.98,NOT RECOMMENDED unless deficient,Critical for women,Morning,Empty stomach,Blocked by calcium,60–120 mg,18–27 mg (Bisglycinate),Hemochromatosis,Constipation,Iron poisoning,Levothyroxine,45 mg/day,"Men, Post-menopausal",PMID:29621906; PMID:22777991,DOI:10.1136/bmjopen-2017-019240,Use Bisglycinate.
Calcium,Mineral,Macromineral,A,0.93,11.0,150.0,43000.0,1995.0,2025.0,Bone Density,PTH,"Bone structure",Fracture risk reduction,Bone maintenance,Small to Moderate,High,0.7,0.95,Calcification risk,Post-menopausal bone,Divided doses,With food,Absorption,500–1200 mg,500–600 mg,Hypercalcemia,Constipation,Kidney stones,Antibiotics,2500 mg/day,Kidney stones history,PMID:26747318; PMID:33455583,DOI:10.1002/14651858.CD000227,Pair with D3+K2.
Iodine,Mineral,Trace Mineral,A,0.94,15.0,40.0,22000.0,1990.0,2023.0,Urinary Iodine,TSH,"Thyroid hormone synthesis",Goiter prevention,Cognitive development (Fetus),Large (Deficiency),High,0.8,0.95,Metabolism,Pregnancy/Thyroid,Morning,With food,Gut tolerance,150–250 mcg,150 mcg,Hyperthyroidism,GI upset,Thyroid storm,Anti-thyroids,1100 mcg/day,Hashimoto's,PMID:24129532; PMID:25591469,DOI:10.3945/ajcn.113.078238,Caution in autoimmune thyroid.
Chromium,Mineral,Trace Mineral,B,0.70,12.0,30.0,2800.0,2000.0,2022.0,HbA1c,Fasting Glucose,"Insulin receptor sensitization",Glycemic control,Craving reduction,Small (Glucose),Medium,0.8,0.85,Metabolic support,PCOS support,With meals,With food,Carb metabolism,200–1000 mcg,200–500 mcg (Picolinate),None specific,None common,Renal failure (rare),Antidiabetics,No UL,Diabetics,PMID:24635480; PMID:26618583,DOI:10.1002/mnfr.201300813,Picolinate form best.
Potassium,Mineral,Macromineral,A,0.92,15.0,40.0,12000.0,1998.0,2023.0,Blood Pressure,Urinary Sodium,"Membrane potential, sodium antagonist",BP reduction,Stroke risk reduction,Moderate (BP),High,0.85,0.85,Cardiovascular,Cardiovascular,With meals,With food,GI tolerance,1000–4700 mg (Dietary),99 mg (Supplement limit),Hyperkalemia,GI upset,Arrhythmia,ACE Inhibitors,No UL (Dietary),Kidney disease,PMID:23558164; PMID:28224151,DOI:10.1136/bmj.f1378,Supplementation limited to 99mg by FDA.
Ashwagandha,Herb,Adaptogen,A,0.91,12.0,41.0,3200.0,2000.0,2024.0,Cortisol,Testosterone,"HPA axis modulation, GABA-mimetic",Stress reduction,Sleep/Strength,"Large (Stress), Moderate (T)",High,0.95,0.85,Testosterone support,Sexual function,Evening,With food,Sedating,300–600 mg,300–600 mg (KSM-66),Hyperthyroidism,Drowsiness,Liver injury (rare),Thyroid meds,1000 mg/day,"Thyroid, Autoimmune",PMID:25405876; PMID:31517876,DOI:10.4103/0253-7176.106022,Use root-only extract.
Rhodiola Rosea,Herb,Adaptogen,B,0.84,7.0,28.0,1450.0,2003.0,2023.0,Cortisol,Amylase,"MAO inhibition",Burnout reduction,Mental processing,"Moderate (Fatigue), Small (Cognition)",High,0.85,0.85,Work capacity,Amenorrhea,Morning,Empty stomach,Stimulating,200–600 mg,200–500 mg,Bipolar,Dizziness,Palpitations,SSRIs,680 mg/day,"Bipolar, Anxious",PMID:29325481; PMID:22228617,DOI:10.1186/s12906-017-2011-4,Standardize 3% Rosavins.
Panax Ginseng,Herb,Adaptogen,B,0.78,9.0,35.0,2800.0,1995.0,2022.0,Blood Glucose,IIEF-5,"Dopamine modulation",Cognition,Erectile function,"Moderate (ED), Small (Immunity)",Medium,0.9,0.75,Sexual health,Hormonal caution,Morning,With food,Stimulating,200–400 mg,200–400 mg,High BP,Insomnia,Vaginal bleeding,Warfarin,2000 mg,Hormone sensitive cancers,PMID:18955300; PMID:23613825,DOI:10.1111/j.1365-2125.2008.03236.x,Cycle recommended.
Holy Basil,Herb,Adaptogen,C,0.70,4.0,18.0,1100.0,2010.0,2023.0,Fasting Glucose,Cortisol,"COX-2 inhibition",Stress reduction,Glycemic control,Small to Moderate,Medium,0.75,0.75,Metabolic stress,Metabolic stress,Any time,With food,GI irritation,300–1000 mg,400–800 mg,Hypoglycemia,Nausea,None significant,Antidiabetics,No UL,Surgery candidates,PMID:28400553; PMID:23682756,DOI:10.1155/2017/9217567,Good safety profile.
Cordyceps,Fungus,Adaptogen,C,0.68,5.0,15.0,850.0,2005.0,2021.0,VO2 Max,ATP,"ATP production increase",Aerobic capacity,Fatigue,Small (Non-athletes),Medium,0.8,0.7,Vitality/Libido,Energy,Pre-workout,With food,GI upset,1000–3000 mg,1000–2000 mg,Autoimmune,Dry mouth,None significant,Immunosuppressants,3000 mg/day,Autoimmune,PMID:27408987; PMID:20804368,DOI:10.1080/19390211.2016.1203386,Use CS-4 strain.
Eleuthero,Herb,Adaptogen,B,0.75,6.0,25.0,2100.0,1985.0,2021.0,Lymphocytes,Cortisol,"Immunomodulation",Endurance,Immune support,Small to Moderate,Medium,0.8,0.8,Endurance,Fatigue,Morning,Independent,Stimulating,2–4 g,300–500 mg,High BP,Insomnia,Palpitations,Digoxin,No UL,Hypertension,PMID:33208039; PMID:21793317,DOI:10.3390/molecules25225335,Siberian Ginseng.
Schisandra,Herb,Adaptogen,C,0.72,3.0,15.0,1200.0,1995.0,2022.0,Liver Enzymes,NO,"Antioxidant induction",Liver health,Focus,"Small (Liver), Moderate (Focus)",Medium,0.75,0.75,Recovery,Liver metabolism,Morning,With food,Acidity,500–2000 mg,500–1000 mg,GERD,Heartburn,Rash,CYP450 substrates,3000 mg,Epilepsy,PMID:29661332; PMID:19500070,DOI:10.3390/nu10040515,Russian/Chinese usage history.
Maca Root,Herb,Adaptogen,B,0.85,5.0,22.0,1850.0,2002.0,2023.0,Libido Scores,FSH,"Endocannabinoid signaling",Libido increase,Mood/Menopause,"Moderate (Libido), Small (Sperm)",High,0.85,0.9,Libido (not T-booster),Post-menopausal mood,Morning,With food,Digestibility,1500–3000 mg,1500–3000 mg (Gelatinized),Thyroid disease,Bloating,Gastritis,None significant,No UL,Thyroid conditions,PMID:20691074; PMID:27548190,DOI:10.1186/1472-6882-10-44,Use Gelatinized form.
Turmeric (Curcumin),Herb,Anti-inflammatory,A,0.95,60.0,180.0,16500.0,2000.0,2024.0,hs-CRP,ESR,"COX-2/NF-kB inhibition",Inflammation,Pain relief,"Large (Pain), Moderate (Lipids)",High,0.9,0.9,Joints,Dysmenorrhea,Any time,With fat,Bioavailability,500–2000 mg,500–1000 mg (Phytosome),Gallstones,GI distress,Liver toxicity,Warfarin,8000 mg,Surgery,PMID:28662980; PMID:33066384,DOI:10.1080/10408398.2017.1341865,Must be enhanced form.
Ginkgo Biloba,Herb,Nootropic,A,0.88,40.0,120.0,28000.0,1980.0,2023.0,Cerebral Blood Flow,ADAS-Cog,"Vasodilation",Cognition (Elderly),Circulation,"Small (Cognition), Moderate (Flow)",High,0.8,0.8,ED support,Cold extremities,Divided doses,With food,Headache risk,120–240 mg,120–240 mg,Bleeding disorders,Headache,Spontaneous bleeding,Blood thinners,No UL,Epileptics,PMID:23076136; PMID:27814983,DOI:10.1002/14651858.CD003120,Blood thinner interaction.
Green Tea Extract,Herb,Metabolic,A,0.92,45.0,110.0,75000.0,1995.0,2024.0,LDL,Fat Oxidation,"COMT inhibition",Weight loss,Lipids,"Small (Weight), Moderate (Lipids)",High,0.85,0.85,Prostate,Metabolism,Morning,With food,Nausea,400–800 mg,400–500 mg,Liver failure,Nausea,Hepatotoxicity,Blood thinners,800 mg EGCG,Liver conditions,PMID:20093626; PMID:27374776,DOI:10.1038/ijo.2009.235,Liver safety warning.
Saw Palmetto,Herb,Hormonal,B,0.76,14.0,32.0,5500.0,1998.0,2023.0,IPSS,Qmax,"5-AR inhibition (mild)",BPH relief,Urinary flow,"Small to Moderate",Medium,0.95,0.2,BPH,Not recommended,Any time,With food,Absorption,320 mg,320 mg,None absolute,Mild GI,None significant,Hormones,No UL,Urinary issues,PMID:23198707; PMID:12137626,DOI:10.1002/14651858.CD001423,Symptom relief only.
Milk Thistle,Herb,Liver,B,0.72,10.0,28.0,3800.0,1990.0,2022.0,ALT/AST,Glutathione,"Antioxidant, membrane stabilizer",Liver enzyme reduction,Hepatoprotection,Moderate,Medium,0.8,0.8,Cycle support,Hormone clearance,Any time,Independent,Bioavailability,140–600 mg,200–400 mg,Ragweed allergy,Laxative,Anaphylaxis,CYP3A4,No UL,Allergies,PMID:17548789; PMID:27517806,DOI:10.1002/14651858.CD003817,Use Silymarin.
Berberine,Compound,Metabolic,A,0.90,15.0,35.0,3200.0,2008.0,2024.0,HbA1c,LDL,"AMPK activation",Glucose control,Lipids,"Large (Glucose), Moderate (Lipids)",High,0.85,0.9,Bulking GDA,PCOS,Before meals,With food,Carb blunting,500–1500 mg,1000–1500 mg,Pregnancy,GI distress,Hypoglycemia,Metformin,1500 mg,Pregnant women,PMID:23118793; PMID:30637044,DOI:10.1210/jc.2007-2404,Metformin alternative.
Fenugreek,Herb,Hormonal,B,0.81,8.0,25.0,1600.0,2005.0,2023.0,Testosterone,Glucose,"Saponins",Libido,Lactation,"Moderate (Libido), Small (T)",Medium,0.9,0.75,Libido,Lactation/PCOS,Morning,With food,Smell,500–600 mg,500–600 mg,Hormone cancers,Maply syrup smell,Hypoglycemia,Antidiabetics,No UL,Pregnancy,PMID:21312304; PMID:27496739,DOI:10.1002/ptr.3360,Testofen form.
Hawthorn Berry,Herb,Cardiovascular,B,0.78,12.0,30.0,4200.0,1985.0,2022.0,LVEF,BP,"ACE inhibition",Heart failure symptoms,BP reduction,"Moderate (Symptoms), Small (BP)",Medium,0.8,0.8,Heart health,Heart health,Divided doses,Independent,Steady state,160–1800 mg,500–1000 mg,Digoxin use,Dizziness,Palpitations,Beta-blockers,No UL,Heart failure,PMID:18254076; PMID:23613868,DOI:10.1002/14651858.CD005312,Slow acting.
L-Theanine,Amino Acid,Nootropic,A,0.89,10.0,40.0,1800.0,2004.0,2023.0,Alpha Waves,Cortisol,"Glutamate antagonist",Anxiety reduction,Focus (w/ Caffeine),"Moderate (Anxiety), Large (Focus)",High,0.85,0.85,Stress,PMS,Pre-task,Independent,Absorption,100–400 mg,100–200 mg,None known,None,Headache,Stimulants,1200 mg,None,PMID:18296328; PMID:31623400,DOI:10.1111/j.1440-1614.2008.01174.x,Pair with Caffeine.
L-Citrulline,Amino Acid,Performance,A,0.94,15.0,35.0,900.0,2010.0,2024.0,Arginine,NO,"NO production",Blood flow,Soreness,"Moderate (Performance), Large (Flow)",High,0.95,0.8,Pumps/ED,Circulation,Pre-workout,Empty stomach,Absorption,3000–8000 mg,6000–8000 mg,Hypotension,GI discomfort,None,PDE5 inhibitors,15 g,Hypotension,PMID:20386132; PMID:26023227,DOI:10.1519/JSC.0b013e3181cdfc5b,Use Malate 2:1.
L-Carnitine,Amino Acid,Metabolic,B,0.77,20.0,60.0,3500.0,1990.0,2023.0,Muscle Carnitine,Sperm Motility,"Mitochondrial transport",Sperm quality,Recovery,"Moderate (Sperm), Small (Fat)",Medium,0.9,0.75,Fertility,Vegetarians,Pre-workout,With Carbs,Insulin spike needed,2000–4000 mg,2000–3000 mg,Hypothyroid,Fishy odor,Seizures,Thyroid meds,3000 mg,Seizures,PMID:22378728; PMID:29916669,DOI:10.1093/humrep/27.4.1278,L-Tartrate form.
L-Arginine,Amino Acid,Performance,C,0.65,18.0,45.0,2200.0,1990.0,2022.0,FMD,NO,"NO precursor",Mild BP reduction,Mild ED support,Small,Low,0.85,0.7,Inferior to Citrulline,Circulation,Pre-workout,Empty stomach,Absorption,3000–6000 mg,3000–5000 mg,Herpes,GI distress,Asthma worsening,Nitrates,No UL,Herpes carriers,PMID:22080314; PMID:30770069,DOI:10.1093/jn/134.10.2807S,Triggers Herpes.
Glycine,Amino Acid,Sleep,B,0.82,8.0,22.0,1400.0,2007.0,2023.0,Body Temp,Sleep Efficiency,"NMDA modulation",Sleep quality,GH support,"Moderate (Sleep), Small (GH)",High,0.85,0.85,Recovery,Sleep,Evening,Independent,Temp regulation,3000 mg,3000–5000 mg,Post-stroke,Soft stools,Excitotoxicity,Clozapine,30 g,Post-stroke,PMID:25533534; PMID:22293292,DOI:10.1111/j.1479-8425.2007.00262.x,Sweet taste.
Taurine,Amino Acid,Cardio,A,0.91,18.0,45.0,3200.0,2000.0,2024.0,Systolic BP,Exercise Capacity,"GABA agonist",BP reduction,Endurance,"Moderate (BP), Small (Endurance)",High,0.9,0.85,Heart health,Hydration,Pre-workout,Independent,Versatile,1000–6000 mg,1000–3000 mg,Heart failure,Nausea,None,Lithium,3000 mg,Renal failure,PMID:29955462; PMID:23118793,DOI:10.1161/HYPERTENSIONAHA.118.11059,Essential for vegans.
Beta-Alanine,Amino Acid,Performance,A,0.96,25.0,70.0,4500.0,2006.0,2023.0,Muscle Carnosine,TTE,"H+ buffering",Endurance,Fatigue delay,"Moderate (Endurance), Large (Carnosine)",High,0.95,0.85,HIIT,Anaerobic,Any time,With food,Insulin aids uptake,3200–6400 mg,3200 mg,Sensory hypersensitivity,Paresthesia (tingling),None,None,No UL,Sensory issues,PMID:22270875; PMID:27143924,DOI:10.1007/s00726-011-1200-0,Causes tingling.
NAC,Compound,Antioxidant,A,0.93,30.0,85.0,9000.0,1990.0,2024.0,Glutathione,Mucus,"Glutathione precursor",Mucus clearance,Mental health,"Large (Mucus), Moderate (Psych)",High,0.9,0.85,Liver,PCOS,Divided,With food,Acidity,600–2400 mg,600–1200 mg,Asthma,GI distress,Anaphylactoid,Nitroglycerin,No UL,Asthma,PMID:29621906; PMID:27122097,DOI:10.1186/s40360-016-0068-1,Sulfur smell.
CoQ10,Compound,Mitochondrial,A,0.90,40.0,100.0,12500.0,1995.0,2024.0,CoQ10,EF,"ETC component",Heart health,Statin relief,Moderate (Heart),High,0.9,0.9,Fertility,Egg quality,Morning,With fat,Fat-soluble,100–300 mg,100–200 mg,None,GI upset,Liver enzymes,Blood thinners,1200 mg,Blood thinners,PMID:25282031; PMID:30604218,DOI:10.1002/14651858.CD010406,Ubiquinol form.
Resveratrol,Compound,Longevity,B,0.78,15.0,40.0,2200.0,2010.0,2023.0,FMD,Glucose,"SIRT1/AMPK",Blood flow,Metabolic health,"Small (Metabolic), Moderate (Flow)",Medium,0.8,0.8,Metabolism,Skin,Morning,With fat,Bioavailability,150–1000 mg,250–500 mg,Estrogen-cancers,GI distress,Nephrotoxicity,CYP3A4,5000 mg,Estrogen-cancers,PMID:26707172; PMID:31118742,DOI:10.1016/j.clnu.2015.11.006,Trans-Resveratrol.
Alpha-Lipoic Acid,Compound,Metabolic,A,0.88,25.0,65.0,4800.0,1995.0,2023.0,Glucose,Neuropathy Score,"Mitochondrial cofactor",Neuropathy relief,Insulin sensitivity,"Large (Neuropathy), Moderate (Glucose)",High,0.85,0.85,Metabolism,PCOS,Morning,Empty stomach,Absorption,300–1200 mg,300–600 mg,Thiamine deficiency,Hypoglycemia,Insulin Autoimmune Syndrome,Chemo,1200 mg,Diabetics,PMID:22964344; PMID:29990473,DOI:10.1530/EJE-12-0563,Use R-ALA.
Astaxanthin,Carotenoid,Antioxidant,B,0.83,8.0,30.0,1500.0,2005.0,2023.0,Skin Elasticity,MDA,"Antioxidant",Skin protection,Eye strain,"Moderate (Skin), Small (Endurance)",High,0.8,0.95,Antioxidant,Beauty,Morning,With fat,Fat-soluble,4–12 mg,4–12 mg,Shellfish allergy,Red stool,None,5-AR inhibitors,No UL,Shellfish allergy,PMID:29690549; PMID:22628205,DOI:10.3390/nu10040522,From algae.
PQQ,Compound,Mitochondrial,C,0.70,2.0,10.0,400.0,2014.0,2022.0,Cognition,CRP,"Biogenesis",Cognition,Energy,Small,Low,0.8,0.8,Nootropic,Egg quality,Morning,With food,CoQ10 stack,20–40 mg,10–20 mg,None,None,Renal toxicity,None,No UL,Pregnancy,PMID:24231099; PMID:26782228,DOI:10.1007/s12035-015-9502-3,Emerging.
Phosphatidylserine,Lipid,Nootropic,B,0.80,12.0,35.0,2500.0,1992.0,2021.0,Cortisol,Memory,"Membrane component",Cortisol reduction,Memory,"Moderate (Cortisol/Memory)",Medium,0.85,0.85,Stress,Cognition,Evening,With food,Fat-soluble,300–800 mg,300–600 mg,None,Insomnia,None,Anticholinergics,No UL,Soy allergy,PMID:18662395; PMID:25933483,DOI:10.1186/1550-2783-5-11,Soy/Sunflower source.
Hyaluronic Acid,Compound,Beauty,A,0.91,12.0,55.0,4200.0,2008.0,2024.0,Skin Moisture,WOMAC,"Water binding",Hydration,Joint pain,Moderate,High,0.75,0.98,Joints,Beauty,Any time,With food,Absorption,60–240 mg,100–200 mg,Cancer history,None,Allergy,None,No UL,Cancer history,PMID:25014997; PMID:26978861,DOI:10.1186/1475-2891-13-70,Oral effective.
Collagen Peptides,Protein,Beauty,A,0.94,25.0,80.0,12000.0,2000.0,2024.0,Skin Elasticity,Joint Pain,"Amino acids",Wrinkles,Joints,Moderate,High,0.85,0.98,Joints,Anti-aging,Any time,Independent,High absorption,2.5–10 g,2.5–10 g,None,Bloating,Hypercalcemia,None,No UL,Vegans,PMID:24401291; PMID:30681787,DOI:10.1159/000351376,Hydrolyzed.
DHEA,Hormone,Hormonal,B,0.85,18.0,60.0,5500.0,1995.0,2023.0,DHEA-S,Testosterone,"Pro-hormone",Fertility,Bone density,"Moderate (Fertility), Small (Muscle)",High,0.9,0.9,Men >40,IVF/Menopause,Morning,With food,Circadian,25–75 mg,25–50 mg,Hormone cancers,Acne; Hair loss,Liver strain,Aromatase inhibitors,100 mg,Athletes (Banned),PMID:20448130; PMID:24075196,DOI:10.1002/14651858.CD000217,Banned WADA.
DIM,Compound,Hormonal,B,0.76,5.0,15.0,1200.0,2005.0,2022.0,Estrogen Metabolites,Free T,"Estrogen metabolism",Estrogen balance,Acne,Moderate (Metabolites),Medium,0.85,0.9,Gynecomastia,PMS/Acne,Dinner,With food,Absorption,100–300 mg,100–200 mg,Hormone conditions,Urine color change,Hyponatremia,HRT,No UL,Pregnancy,PMID:25513726; PMID:28135165,DOI:10.1007/s10549-014-3211-6,From broccoli.
Myo-Inositol,Carbohydrate,Metabolic,A,0.93,25.0,60.0,5800.0,2000.0,2024.0,HOMA-IR,Ovulation,"Insulin signaling",PCOS resolution,Insulin sensitivity,"Large (PCOS), Moderate (Anxiety)",High,0.5,1.0,Low relevance,PCOS Standard,Divided,Independent,Consistent levels,2000–4000 mg,2000–4000 mg,None,Gas,None,None,18 g,PCOS,PMID:29042448; PMID:22192900,DOI:10.1080/09513590.2017.1381680,PCOS essential.
Chasteberry,Herb,Hormonal,A,0.88,15.0,40.0,3500.0,1998.0,2023.0,Prolactin,Progesterone,"Dopamine agonist",PMS relief,Cycle regulation,Large (PMS),High,0.2,1.0,Hyperprolactinemia,PMS/Acne,Morning,Empty stomach,Dopamine pulse,20–40 mg,20–40 mg,Pregnancy,GI upset,Ovarian hyperstimulation,Dopamine agonists,No UL,Birth control,PMID:23136064; PMID:28237870,DOI:10.1055/s-0032-1327831,Vitex Agnus-Castus.
Black Cohosh,Herb,Hormonal,B,0.82,16.0,35.0,4500.0,1995.0,2022.0,LH,Hot Flashes,"Serotonin agonist",Hot flash relief,Mood,Moderate,High,0.1,0.98,None,Menopause,Divided,With food,GI comfort,40–80 mg,40–80 mg,Liver disease,GI upset,Liver damage,Statins,No UL,Liver history,PMID:22972105; PMID:18596662,DOI:10.1002/14651858.CD007244,Liver warning.
Tribulus Terrestris,Herb,Libido,B,0.75,12.0,30.0,2100.0,2000.0,2023.0,IIEF,Testosterone,"Androgen receptors",Libido,Sexual function,"Moderate (Libido), Negligible (T)",High,0.9,0.7,Libido,Libido,Any time,With food,Irritation,750–1500 mg,500–1000 mg,Pregnancy,Reflux,Nephrotoxicity,Antidiabetics,No UL,Men expecting T,PMID:24559105; PMID:26727646,DOI:10.1111/jsm.12469,Not a T-booster.
Boron,Mineral,Trace Mineral,B,0.85,8.0,15.0,800.0,1998.0,2023.0,Free T,SHBG,"SHBG inhibition",Free T increase,Bone density,Moderate (Free T),Medium,0.95,0.85,Free T,Bone,Morning,With food,Nausea,3–10 mg,6–9 mg,Hormone cancers,None common,Kidney toxicity,Estrogen,20 mg,Kidney disease,PMID:21129941; PMID:26504509,DOI:10.1016/j.jtemb.2010.10.001,Cycle it.
Shilajit,Resin,Adaptogen,B,0.80,6.0,12.0,600.0,2010.0,2024.0,Testosterone,ATP,"Mitochondrial",T-support,Sperm quality,Moderate,Medium,0.9,0.7,Fertility,Energy,Morning,Dissolved,Absorption,250–500 mg,250–500 mg,Iron overload,Metallic taste,Heavy metals,Antidiabetics,No UL,Iron overload,PMID:26395129; PMID:30728074,DOI:10.1111/and.12482,Purified only.
