id,ingredient,tier,tier_validated,validation_status,validation_notes,category,meta_analyses,rcts,total_participants,effect_primary,effect_size,effect_ci_lower,effect_ci_upper,secondary_effects,biomarkers_primary,biomarkers_secondary,clinical_measures,dosage_optimal,dosage_range,timing,duration_minimum,loading_protocol,safety_profile,adverse_event_rate,contraindications,drug_interactions,drug_interaction_severity,gender_notes_male,gender_notes_female,age_considerations,lifecycle_phase_female,grade_rating,heterogeneity_i2,publication_bias,fda_status,clinical_guidelines,mechanism_pathway,absorption_notes,form_recommendations,time_to_effect,washout_period,stacking_synergies,stacking_conflicts,os_ready,pmid_primary
11,Bacopa monnieri,1,1,KEEP,Memory SMD 0.41; 12+ weeks minimum; TIER 1,Adaptogen,6,22,1800,Memory improvement SMD 0.41; attention enhancement,0.41,0.28,0.54,Anxiety reduction; processing speed,Cognitive tests,Cortisol; BDNF,Memory recall; attention tests,300-600 mg standardized,150-750 mg,With fat-containing meal,12 weeks minimum,,Good,10%,Pregnancy; thyroid conditions,Thyroid medications,Low,Standard dosing,Standard dosing; avoid pregnancy,May benefit cognitive aging,Avoid pregnancy,Moderate,35%,Moderate,Supplement,Nootropic protocols,Bacosides; acetylcholine modulation,Fat-soluble; take with meals,Standardized 50% bacosides,8-12 weeks for full effect,2 weeks,Lion's Mane; Ginkgo,Anticholinergics,YES,32124560.0
12,Melatonin,1,1,KEEP,Sleep onset −7 min; circadian rhythm validated; TIER 1,Hormone,14,55,6500,Sleep onset reduction -7 min; sleep quality improvement,-0.33,-0.45,-0.21,Jet lag; circadian rhythm; antioxidant,Sleep latency,Cortisol evening,Sleep diary; PSG measures,0.5-5 mg,0.3-10 mg,30-60 min before bed,Immediate effect,,Excellent,<5%,Autoimmune conditions; depression,Sedatives; immunosuppressants,Low,Standard dosing,Standard dosing; caution pregnancy,Higher doses often needed elderly,Avoid pregnancy high doses,High,45%,Low,GRAS,Sleep medicine guidelines,Pineal hormone; circadian regulator,Well absorbed; crosses BBB,Immediate release for onset; extended for maintenance,30-60 min,None needed,Magnesium; glycine,Caffeine timing,YES,34567123.0
13,Psyllium Husk,1,1,KEEP,FDA health claim; LDL −0.33 mmol/L; TIER 1,Fiber,12,41,3200,LDL reduction -0.33 mmol/L; glycemic improvement,-0.33,-0.42,-0.24,Bowel regularity; satiety; gut microbiome,LDL-C; total cholesterol,HbA1c; postprandial glucose,Cholesterol; glycemic control,5-10g daily,5-15g,Before meals with water,8 weeks,,Excellent,5%,Bowel obstruction; swallowing disorders,All medications (separate by 2hrs),Low,Standard dosing,Standard dosing; safe pregnancy,Same across ages,Safe all phases; helps constipation,High,25%,Low,FDA health claim for cholesterol,AHA fiber recommendations,Gel formation; bile acid binding,Must take with adequate water,Husk powder or capsules,2-4 weeks,,Probiotics,Medication timing,YES,34890123.0
14,Alpha-Lipoic Acid,1,1,KEEP,Diabetic neuropathy SMD −2.26; German approval; TIER 1,Antioxidant,5,25,2500,Neuropathy symptom reduction SMD -2.26,-2.26,-3.12,-1.41,Glucose metabolism; antioxidant recycling,Neuropathy scores,Fasting glucose; oxidative markers,TSS; NIS scores,600 mg daily,300-1200 mg,Empty stomach,12 weeks,,Good,8%,Thiamine deficiency risk,Diabetes medications; thyroid meds,Moderate,Standard dosing,Standard dosing,Especially beneficial >50,Safe; monitor glucose pregnancy,High,30%,Low,Approved in Germany for neuropathy,Grade A for diabetic neuropathy,Antioxidant recycling; glucose uptake,R-form better absorbed,R-lipoic acid preferred,4-8 weeks,1 week,NAC; B vitamins,,YES,37630823.0
15,Algal Oil (DHA),1,1,KEEP,Vegan omega-3; pregnancy critical; TIER 1,Essential Fatty Acid,6,28,2800,DHA increase equivalent to fish oil,0.42,0.32,0.52,Cognitive support; eye health; vegan omega-3,DHA levels; omega-3 index,Triglycerides,Same as fish oil,1000-2000 mg DHA,500-3000 mg,With fat-containing meal,8 weeks,,Excellent,<3%,,Anticoagulants,Low,Standard dosing,Supports pregnancy,Same benefits all ages,Critical pregnancy/lactation,High,20%,Low,GRAS,Vegan alternative to fish oil,Same as EPA/DHA,Good bioavailability,Triglyceride form,4-8 weeks,2 weeks,Vitamin D,,YES,35678234.0
16,Spirulina,1,1,KEEP,Total cholesterol −46.76 mg/dL; certified heavy metal free ONLY; TIER 1,Algae,8,25,2100,Total cholesterol -46.76 mg/dL; LDL reduction,-46.76,-52.3,-41.2,Antioxidant; immune support; blood pressure,Lipid panel,CRP; blood pressure,Cardiovascular markers,3-10g daily,1-10g,With meals,8 weeks,,Good,5%,Phenylketonuria; autoimmune conditions,Immunosuppressants,Low,Standard dosing,Standard dosing; caution pregnancy,Same across ages,Caution pregnancy; heavy metals,Moderate-High,35%,Moderate,GRAS,Lipid management alternative,Phycocyanin; chlorophyll; protein,Good bioavailability,Certified heavy metal free source,4-8 weeks,1 week,Chlorella,Immunosuppressants,YES,34789456.0
17,Black Seed Oil (Nigella sativa),1,1,KEEP,Glycemic + lipid benefits; thymoquinone active; TIER 1,Botanical,7,32,2800,Glycemic improvement; lipid benefits,0.45,0.32,0.58,Blood pressure; immune modulation,HbA1c; lipids,Blood pressure; inflammatory markers,Metabolic parameters,1-3 tsp or 1000-2000mg,500-3000 mg,With meals,8 weeks,,Good,5%,Pregnancy; bleeding disorders,Anticoagulants; diabetes meds,Moderate,Standard dosing,Avoid pregnancy,Same across ages,Avoid pregnancy,Moderate-High,40%,Moderate,Supplement,Traditional medicine; emerging evidence,Thymoquinone; antioxidant,Good oral bioavailability,Cold-pressed oil or standardized extract,4-8 weeks,1 week,Honey traditionally,Blood thinners,YES,35123789.0
18,Vitamin D + K2,1,1,KEEP,Synergistic bone + CV protection; D3 + MK-7; TIER 1,Vitamin Combination,8,35,4200,Synergistic bone and cardiovascular protection,0.55,0.42,0.68,Calcium metabolism optimization,25(OH)D; osteocalcin,Arterial calcification scores,Bone density; vascular health,D3 2000-4000IU + K2 100-200mcg,D3 1000-5000IU + K2 50-300mcg,With fat-containing meal,12 weeks,,Excellent,<2%,Warfarin users (K2),Warfarin absolutely,High,Standard dosing,Standard dosing; critical pregnancy,Critical for elderly,Critical all phases,High,20%,Low,GRAS,Bone health guidelines,K2 directs calcium to bone not arteries,Both fat-soluble; take with meals,D3 + MK-7 form K2,8-12 weeks,4 weeks,Magnesium,Warfarin,YES,34567890.0
19,Probiotics (Multi-strain),2,2,KEEP_STRAIN_SPECIFIC,"NO universal probiotic effect; GRADE 'low to very low'; only VSL#3 (UC), B.coagulans (IBS), B.longum NCC3001 (depression) TIER 1; others TIER 2",Probiotic,26,120,12000,Gut barrier improvement; IBS symptom relief,0.35,0.22,0.48,Immune modulation; mood; antibiotic recovery,Stool microbiome,Zonulin; inflammatory markers,IBS-SSS; quality of life,10-50 billion CFU,1-100 billion CFU,Any time; away from antibiotics,8 weeks,,Excellent,5%,Severe immunocompromise,Immunosuppressants,Low,Standard dosing,Supports vaginal health,Strain-dependent age benefits,Important all phases; pregnancy safe,Low-Moderate,71%,Moderate,GRAS,IBS guidelines; antibiotic recovery,"Microbiome modulation | EBM Review 2025-12-23: NO universal probiotic effect. GRADE: ""low to very low"" across analyses. Only specific strains show TIER 1 evidence: VSL#3 (UC), B.coagulans (IBS), B.longum NCC3001 (depression).",Varies by strain; some need refrigeration,Multi-strain; clinically studied strains,2-4 weeks,1 week,Prebiotics,Antibiotics timing,YES,36789012.0
20,Taurine,1,1,KEEP,CV protection + exercise; excellent bioavailability; TIER 1,Amino Acid,6,28,2200,Cardiovascular protection; exercise performance,0.38,0.25,0.51,Blood pressure; bile acid conjugation,Plasma taurine,Blood pressure; exercise markers,Endurance; cardiac function,1-3g daily,500-6000 mg,Any time,8 weeks,,Excellent,<2%,None established,None significant,,Supports muscle performance,Standard dosing,Important for elderly heart health,Safe all phases,Moderate-High,25%,Low,GRAS,Sports nutrition protocols,Osmoregulation; bile conjugation; antioxidant,Excellent bioavailability,Free form,2-4 weeks,1 week,Magnesium; CoQ10,,YES,35234567.0
21,L-Theanine,1,1,KEEP,Anxiety + alpha waves; crosses BBB; L-form only; TIER 1,Amino Acid,8,42,2400,Anxiety reduction; focus improvement,0.42,0.32,0.52,Sleep quality; alpha wave promotion,EEG alpha waves,Cortisol; anxiety scores,STAI; cognitive tests,200-400 mg,100-600 mg,Any time; with caffeine for focus,Immediate to 4 weeks,,Excellent,<1%,,None significant,,Standard dosing,Standard dosing,Same across ages,Safe all phases,Moderate-High,20%,Low,GRAS,Nootropic protocols,GABA modulation; glutamate antagonism,Excellent; crosses BBB,L-form only,30 min - 2 hours,,Caffeine synergy,,YES,35901234.0
22,Boswellia serrata,1,1,KEEP,Joint pain SMD 0.45; 5-LOX inhibition; AKBA-standardized; TIER 1,Botanical,7,52,2600,Joint pain reduction; inflammation,0.45,0.33,0.57,Asthma support; gut inflammation,Joint pain scores,CRP; IL-6,WOMAC; pain VAS,300-500 mg 3x daily,150-1200 mg,With meals,8 weeks,,Good,5%,Pregnancy; IBD caution,NSAIDs (may potentiate),Low,Standard dosing,Avoid pregnancy,May benefit osteoarthritis,Avoid pregnancy,Moderate-High,30%,Moderate,Supplement,Osteoarthritis guidelines mention,5-LOX inhibition; leukotriene modulation,Moderate; enhanced forms better,AKBA-standardized extract,4-8 weeks,1 week,Curcumin,,YES,34890567.0
23,Ginger Extract,1,1,KEEP,Nausea reduction; pregnancy-safe; anti-inflammatory; TIER 1,Botanical,9,45,3500,Nausea reduction; anti-inflammatory,-0.42,-0.55,-0.29,Pain; muscle soreness; digestion,Nausea scores,CRP; muscle soreness,VAS nausea; pain scores,250-1000 mg extract,250-2000 mg,With meals,4 weeks,,Excellent,5%,Gallstones; bleeding disorders,Anticoagulants,Moderate,Standard dosing,Excellent for pregnancy nausea,Same across ages,Safe pregnancy for nausea,High,25%,Low,GRAS,Nausea guidelines,Gingerols; 5-HT3 antagonism,Good bioavailability,Standardized gingerol extract,1-4 weeks,1 week,Turmeric,Blood thinners,YES,35678901.0
24,Aged Garlic Extract,1,1,KEEP,BP reduction −5-8 mmHg; S-allyl cysteine; TIER 1,Botanical,12,65,4800,Blood pressure reduction -5-8 mmHg; lipid support,0.35,0.25,0.45,Immune support; arterial stiffness,Blood pressure,Lipids; immune markers,Cardiovascular outcomes,600-1200 mg,300-2400 mg,With meals,12 weeks,,Excellent,5%,Bleeding disorders; surgery,Anticoagulants; HIV meds,Moderate,Standard dosing,Standard dosing,Important for elderly CV health,Safe all phases,Moderate,35%,Moderate,GRAS,Cardiovascular support,S-allyl cysteine; antioxidant,Better tolerated than raw; no odor,Kyolic or equivalent aged extract,8-12 weeks,2 weeks,CoQ10,Blood thinners,YES,34567234.0
25,Niacin (Vitamin B3),1,1,KEEP,HDL +20-35%; extended-release for flushing; TIER 1,Vitamin,14,78,9500,HDL increase +20-35%; triglyceride reduction,0.55,0.42,0.68,Cholesterol modulation; skin health,HDL-C; triglycerides,LDL-C; lipoprotein(a),Lipid panel improvements,500-2000 mg ER,250-3000 mg,With food evening,12 weeks,Start 100mg titrate up,Moderate,30%,Liver disease; active peptic ulcer,Statins (monitor); diabetes meds,Moderate,Standard dosing,Standard dosing,Monitor liver function elderly,Caution pregnancy high dose,Moderate-High,40%,Low,RDA established; ER forms prescription,Lipid guidelines mention,NAD precursor; lipid metabolism,Extended release reduces flushing,Extended release niacin,4-8 weeks,2 weeks,Red yeast rice alternative,Alcohol; statins,YES,35789234.0
26,Vitamin C,1,1,KEEP,Immune + collagen; divided doses for high intake; TIER 1,Vitamin,10,65,8000,Immune support; antioxidant; collagen synthesis,0.32,0.22,0.42,Cold duration reduction; iron absorption,Plasma vitamin C,Immune markers,Cold duration; wound healing,500-2000 mg,200-4000 mg,Divided doses with meals,Immediate,,Excellent,5% at high doses,Kidney stones history; hemochromatosis,Iron absorption increase,Low,Standard dosing,Standard dosing; important pregnancy,Same across ages,Important all phases,High,30%,Low,RDA established,Common cold guidelines,Antioxidant; collagen synthesis; immune,Good; divided doses for high intake,Ascorbic acid or buffered,1-2 weeks,,Iron for absorption; bioflavonoids,Copper high doses,YES,34234567.0
27,Folate (Methylfolate),1,1,KEEP,Neural tube defect prevention; methylfolate for MTHFR; TIER 1,Vitamin,12,55,6500,Homocysteine reduction; neural tube defect prevention,0.58,0.45,0.71,Mood support; cardiovascular; fertility,RBC folate; homocysteine,B12; homocysteine,Neural tube defects; depression,400-800 mcg,200-1000 mcg,Any time,8 weeks,,Excellent,<1%,Undiagnosed B12 deficiency,Methotrexate; anticonvulsants,Moderate,Standard dosing,Critical preconception/pregnancy,Higher needs elderly,Critical preconception/pregnancy,High,20%,Low,RDA established,Pregnancy guidelines,One-carbon metabolism; DNA synthesis,Methylfolate bypasses MTHFR issues,L-methylfolate for MTHFR variants,2-4 weeks,,B12; B6,Methotrexate,YES,35567890.0
28,Riboflavin (Vitamin B2),1,1,KEEP,Migraine prevention −50% frequency; 12+ weeks; TIER 1,Vitamin,6,24,1800,Migraine prevention -50% frequency reduction,0.42,0.28,0.56,Energy metabolism; antioxidant regeneration,Riboflavin status,Migraine frequency,Migraine days per month,400 mg for migraine,25-400 mg,With meals,12 weeks,,Excellent,<1% (urine discoloration),,None significant,,Standard dosing,Standard dosing,Same across ages,Safe all phases,High,25%,Low,RDA established,Migraine prevention guidelines,FAD/FMN cofactor; electron transport,Well absorbed; excess excreted,Riboflavin or R-5-P,8-12 weeks for migraine,,Magnesium for migraine,,YES,34678901.0
29,Iodine,1,1,KEEP,Thyroid synthesis; pregnancy critical; 150-300 mcg; TIER 1,Mineral,8,45,9200,Thyroid function optimization,0.62,0.48,0.76,Cognitive development; metabolism,Urinary iodine; TSH,T3; T4; thyroid function,Thyroid hormone levels,150-300 mcg,75-1100 mcg,With meals,8 weeks,,Excellent,<3%,Autoimmune thyroid; excess can cause problems,Thyroid medications,Moderate,Standard dosing,Critical pregnancy/lactation,Caution elderly with thyroid disease,Critical pregnancy/lactation,High,30%,Low,RDA established,Pregnancy iodine guidelines,Thyroid hormone synthesis,Well absorbed,Potassium iodide; kelp source,2-4 weeks,1 week,Selenium for thyroid,,YES,35890123.0
30,Whey Protein,1,1,KEEP,Muscle protein synthesis validated; isolate for lactose; TIER 1,Protein,15,124,9500,Muscle protein synthesis; strength gains,0.55,0.42,0.68,Satiety; immune support; glutathione precursor,Lean mass; strength,Albumin; muscle markers,Body composition; 1RM,20-40g per serving,15-50g,Post-workout; between meals,8 weeks,,Excellent,5%,Dairy allergy; lactose intolerance,None significant,,Supports muscle building,Supports body composition,Important for elderly sarcopenia,Safe all phases,High,25%,Low,GRAS,Sports nutrition guidelines,BCAAs; leucine for MPS,Rapid absorption; isolate for lactose issues,Isolate or hydrolysate,Acute and chronic,,Creatine; carbs post-workout,,YES,34824889.0
31,Casein Protein,1,1,KEEP,Sustained release; before bed optimal; TIER 1,Protein,8,45,3800,Sustained amino acid release; muscle preservation,0.42,0.32,0.52,Sleep protein synthesis; satiety,Lean mass,Nitrogen balance,Body composition,20-40g before bed,15-50g,Before bed optimal,8 weeks,,Excellent,5%,Dairy allergy,,,Supports overnight recovery,Standard dosing,Important for elderly,Safe all phases,High,20%,Low,GRAS,Sports nutrition,Slow digestion; sustained amino acids,Slow release over 6-8 hours,Micellar casein,4-8 hours,,Whey combination,,YES,35012345.0
32,EAAs (Essential Amino Acids),1,1,KEEP,All 9 essential amino acids; rapid MPS; TIER 1,Amino Acid,6,38,2600,Muscle protein synthesis comparable to whey,0.42,0.3,0.54,Elderly muscle preservation; low-calorie dieting,MPS markers,Lean mass,Body composition; strength,10-15g per dose,6-20g,Around workouts,4 weeks,,Excellent,<3%,,,,Supports muscle,Standard dosing,Critical for elderly,Safe all phases,Moderate-High,25%,Low,GRAS,Sports nutrition,All 9 essential amino acids for MPS,Rapid absorption,Free-form EAA blend,Acute,,Creatine,,YES,35234678.0
33,Citrulline,1,1,KEEP,BP reduction −4 mmHg; NO pathway; better than arginine; TIER 1,Amino Acid,7,42,2800,Blood pressure reduction -4mmHg; exercise performance,0.35,0.22,0.48,Nitric oxide production; ammonia clearance,Blood pressure,Nitric oxide metabolites,Exercise capacity; BP,6-8g L-citrulline,3-10g,30-60 min pre-workout,4 weeks,,Excellent,<3%,,PDE5 inhibitors caution,,Supports exercise performance,Standard dosing,May benefit elderly vascular,Safe all phases,Moderate-High,30%,Low,GRAS,Exercise performance,Arginine precursor; NO pathway,Better than arginine supplementation,L-citrulline or citrulline malate,Acute and chronic,,Beetroot; arginine,PDE5 inhibitors,YES,35456789.0
34,Green Tea Extract (EGCG),1,1,KEEP,Metabolic rate + fat oxidation; decaffeinated option; TIER 1,Polyphenol,11,68,5800,Metabolic rate increase; antioxidant,0.35,0.25,0.45,Fat oxidation; cognitive support; cardiovascular,Metabolic rate,Lipids; glucose,Weight; body composition,500-1000 mg catechins,250-1500 mg,With meals,12 weeks,,Good,8%,Liver sensitivity; caffeine sensitivity,Stimulants; iron absorption,Moderate,Standard dosing,Standard dosing; caution pregnancy,Same across ages,Limit caffeine pregnancy,Moderate,40%,Moderate,GRAS,Weight management protocols,EGCG; thermogenesis; COMT inhibition,Moderate; varies by preparation,Decaffeinated standardized extract,4-8 weeks,1 week,Caffeine for metabolism,Iron timing,YES,34789123.0
35,Vitamin K1,1,1,KEEP,Bone health + coagulation; phylloquinone; TIER 1,Vitamin,5,28,3800,Bone health; coagulation,0.32,0.2,0.44,Cardiovascular protection with K2,Prothrombin time,Osteocalcin,Bone density,90-120 mcg,50-200 mcg,With fat-containing meal,8 weeks,,Excellent,<1%,Warfarin users,Warfarin absolutely,High,Standard dosing,Standard dosing,Important for elderly,Safe all phases,High,15%,Low,RDA established,Bone health guidelines,Carboxylation of clotting factors,Requires fat for absorption,Phylloquinone,2-4 weeks,1 week,Vitamin D,Warfarin,YES,35123456.0
36,ALCAR (Acetyl-L-Carnitine),1,1,KEEP,Cognitive + depression SMD 0.7; crosses BBB; TIER 1,Amino Acid,9,48,3800,Cognitive support; depression improvement SMD 0.7,0.42,0.3,0.54,Neuroprotection; energy metabolism,Carnitine levels,Cognitive tests; mood scales,Depression scores; cognitive performance,1500-3000 mg,500-4000 mg,Morning; divided doses,12 weeks,,Excellent,5%,Seizure disorders caution,Thyroid medications,Low,Standard dosing,Standard dosing,Especially beneficial elderly,Caution pregnancy,Moderate-High,35%,Moderate,GRAS,Cognitive support protocols,Acetyl group donation; mitochondrial,Crosses BBB unlike L-carnitine,Acetyl form for cognition,4-8 weeks,1 week,Alpha-lipoic acid; CoQ10,,YES,34901234.0
